Invoice Ref,Account Name,Inv Amt (INR),Due Dt,Days Late,Last Touch,Collector,Payment Risk,A/R State,Region,City Cluster,Channel Type,Order Mix,Escalation Note,Promised Dt,Source URL
SP-AR-26-1018,Phoenix Mall Food Court Events Ghaziabad,105700,2026-02-12,51,2026-03-22,Arjun,High,Disputed,North,Ghaziabad,Mall/Transit Venue,Chai Flask Bulk Orders,Settlement dispute: commission or outlet-level payout mismatch under review,,https://samosaparty.in/about
SP-AR-26-1019,Airport Kiosk Bulk Order Desk Bengaluru,39150,2026-03-16,19,2026-04-02,Megha,Medium,Overdue,South,Bengaluru,Franchise Partner,Marketplace Delivery,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1020,Direct App Enterprise Orders Faridabad,53050,2026-04-04,0,2026-04-03,Karan,Low,Paid,North,Faridabad,Direct App Enterprise,Breakfast Combos,Closed after settlement remittance confirmation,,https://samosaparty.in/contact-us
SP-AR-26-1021,Tech Park Pantry Program Hyderabad,43450,2026-03-10,25,,Sana,High,Overdue,South,Hyderabad,Food Aggregator,Chai Flask Bulk Orders,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1022,Festival Bulk Orders Desk Delhi,57350,2026-03-07,28,2026-03-27,Vikram,Medium,Partial Payment,North,Delhi,Corporate Catering,Marketplace Delivery,Short remittance received; balance pending against catering or marketplace cycle,2026-04-09,https://samosaparty.in/about
SP-AR-26-1023,Metro Hub Breakfast Program Chennai,71250,2026-03-12,23,2026-03-30,,Medium,Promise to Pay,South,Chennai,Mall/Transit Venue,Breakfast Combos,Finance contact committed payout release after outlet-level reconciliation,2026-04-07,https://samosaparty.in/store-locator
SP-AR-26-1024,Retail Franchise Supplies Noida,85150,2026-03-01,34,2026-03-28,,Low,Overdue,North,Noida,Franchise Partner,Chai Flask Bulk Orders,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1025,Swiggy Settlement Bengaluru,101400,2026-02-26,37,2026-03-27,,Medium,Overdue,South,Bengaluru,Direct App Enterprise,Marketplace Delivery,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1026,Zomato Settlement Gurugram,91800,2026-02-23,40,2026-03-26,Arjun,High,Overdue,North,Gurugram,Food Aggregator,Breakfast Combos,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1027,Corporate Catering - Infosys Hyderabad,105700,2026-02-20,43,2026-03-25,Megha,Low,Overdue,South,Hyderabad,Corporate Catering,Chai Flask Bulk Orders,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1028,Corporate Catering - Wipro Ghaziabad,36800,2026-02-17,46,2026-04-02,Karan,Medium,Overdue,North,Ghaziabad,Mall/Transit Venue,Marketplace Delivery,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1029,Corporate Catering - Microsoft Chennai,50700,2026-03-11,24,2026-03-26,Sana,Medium,Partial Payment,South,Chennai,Franchise Partner,Breakfast Combos,Short remittance received; balance pending against catering or marketplace cycle,2026-04-10,https://samosaparty.in/
SP-AR-26-1030,Phoenix Mall Food Court Events Faridabad,64600,2026-03-24,11,2026-03-31,Vikram,Low,Overdue,North,Faridabad,Direct App Enterprise,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1031,Airport Kiosk Bulk Order Desk Bengaluru,57350,2026-03-21,14,,,High,Overdue,South,Bengaluru,Food Aggregator,Marketplace Delivery,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1032,Direct App Enterprise Orders Delhi,71250,2026-03-18,17,2026-03-29,,Low,Overdue,North,Delhi,Corporate Catering,Breakfast Combos,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1033,Tech Park Pantry Program Hyderabad,85150,2026-03-15,20,2026-03-28,,Low,Overdue,South,Hyderabad,Mall/Transit Venue,Chai Flask Bulk Orders,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1034,Festival Bulk Orders Desk Noida,99050,2026-03-14,21,2026-03-31,Arjun,Medium,Promise to Pay,North,Noida,Franchise Partner,Marketplace Delivery,Finance contact committed payout release after outlet-level reconciliation,2026-04-06,https://samosaparty.in/about
SP-AR-26-1035,Metro Hub Breakfast Program Chennai,112950,2026-02-16,47,2026-03-20,Megha,High,Disputed,South,Chennai,Direct App Enterprise,Breakfast Combos,Settlement dispute: commission or outlet-level payout mismatch under review,,https://samosaparty.in/store-locator
SP-AR-26-1036,Retail Franchise Supplies Gurugram,103350,2026-03-15,20,2026-03-25,Karan,Medium,Partial Payment,North,Gurugram,Food Aggregator,Chai Flask Bulk Orders,Short remittance received; balance pending against catering or marketplace cycle,2026-04-11,https://samosaparty.in/contact-us
SP-AR-26-1037,Swiggy Settlement Bengaluru,36800,2026-03-03,32,2026-04-02,Sana,Medium,Overdue,South,Bengaluru,Corporate Catering,Marketplace Delivery,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1038,Zomato Settlement Ghaziabad,50700,2026-02-28,35,2026-04-01,Vikram,Low,Overdue,North,Ghaziabad,Mall/Transit Venue,Breakfast Combos,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1039,Corporate Catering - Infosys Hyderabad,64600,2026-04-04,0,2026-04-03,Riya,Low,Paid,South,Hyderabad,Franchise Partner,Chai Flask Bulk Orders,Closed after settlement remittance confirmation,,https://samosaparty.in/store-locator
SP-AR-26-1040,Corporate Catering - Wipro Faridabad,78500,2026-02-22,41,2026-03-30,,Medium,Overdue,North,Faridabad,Direct App Enterprise,Marketplace Delivery,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1041,Corporate Catering - Microsoft Chennai,68900,2026-02-19,44,,,High,Overdue,South,Chennai,Food Aggregator,Breakfast Combos,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1042,Phoenix Mall Food Court Events Delhi,82800,2026-03-29,6,2026-03-28,Arjun,Low,Overdue,North,Delhi,Corporate Catering,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1043,Airport Kiosk Bulk Order Desk Bengaluru,99050,2026-03-08,27,2026-03-30,Megha,Medium,Partial Payment,South,Bengaluru,Mall/Transit Venue,Marketplace Delivery,Short remittance received; balance pending against catering or marketplace cycle,2026-04-06,https://samosaparty.in/store-locator
SP-AR-26-1044,Direct App Enterprise Orders Noida,112950,2026-03-23,12,2026-03-26,Karan,Low,Overdue,North,Noida,Franchise Partner,Breakfast Combos,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1045,Tech Park Pantry Program Hyderabad,126850,2026-03-16,19,2026-04-01,Sana,Medium,Promise to Pay,South,Hyderabad,Direct App Enterprise,Chai Flask Bulk Orders,Finance contact committed payout release after outlet-level reconciliation,2026-04-05,https://samosaparty.in/
SP-AR-26-1046,Festival Bulk Orders Desk Gurugram,34450,2026-03-17,18,2026-04-02,Vikram,High,Overdue,North,Gurugram,Food Aggregator,Marketplace Delivery,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1047,Metro Hub Breakfast Program Chennai,48350,2026-03-14,21,2026-04-01,,Low,Overdue,South,Chennai,Corporate Catering,Breakfast Combos,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1048,Retail Franchise Supplies Ghaziabad,62250,2026-03-11,24,2026-03-31,,Low,Overdue,North,Ghaziabad,Mall/Transit Venue,Chai Flask Bulk Orders,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1049,Swiggy Settlement Bengaluru,78500,2026-03-08,27,2026-03-30,,Medium,Overdue,South,Bengaluru,Franchise Partner,Marketplace Delivery,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1050,Zomato Settlement Faridabad,92400,2026-03-12,23,2026-03-29,Arjun,Medium,Partial Payment,North,Faridabad,Direct App Enterprise,Breakfast Combos,Short remittance received; balance pending against catering or marketplace cycle,2026-04-07,https://samosaparty.in/about
SP-AR-26-1051,Corporate Catering - Infosys Hyderabad,82800,2026-03-02,33,,Megha,High,Overdue,South,Hyderabad,Food Aggregator,Chai Flask Bulk Orders,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1052,Corporate Catering - Wipro Delhi,96700,2026-02-20,43,2026-03-23,Karan,High,Disputed,North,Delhi,Corporate Catering,Marketplace Delivery,Settlement dispute: commission or outlet-level payout mismatch under review,,https://samosaparty.in/contact-us
SP-AR-26-1053,Corporate Catering - Microsoft Chennai,110600,2026-02-24,39,2026-03-26,Sana,Low,Overdue,South,Chennai,Mall/Transit Venue,Breakfast Combos,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1054,Phoenix Mall Food Court Events Noida,124500,2026-02-21,42,2026-03-25,Vikram,Low,Overdue,North,Noida,Franchise Partner,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1055,Airport Kiosk Bulk Order Desk Bengaluru,57950,2026-02-18,45,2026-04-02,,Medium,Overdue,South,Bengaluru,Direct App Enterprise,Marketplace Delivery,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1056,Direct App Enterprise Orders Gurugram,48350,2026-03-18,17,2026-03-29,,Medium,Promise to Pay,North,Gurugram,Food Aggregator,Breakfast Combos,Finance contact committed payout release after outlet-level reconciliation,2026-04-08,https://samosaparty.in/contact-us
SP-AR-26-1057,Tech Park Pantry Program Hyderabad,62250,2026-03-16,19,2026-03-28,,Medium,Partial Payment,South,Hyderabad,Corporate Catering,Chai Flask Bulk Orders,Short remittance received; balance pending against catering or marketplace cycle,2026-04-08,https://samosaparty.in/
SP-AR-26-1058,Festival Bulk Orders Desk Ghaziabad,76150,2026-04-04,0,2026-04-03,Arjun,Low,Paid,North,Ghaziabad,Mall/Transit Venue,Marketplace Delivery,Closed after settlement remittance confirmation,,https://samosaparty.in/about
SP-AR-26-1059,Metro Hub Breakfast Program Chennai,90050,2026-03-19,16,2026-03-29,Megha,Low,Overdue,South,Chennai,Franchise Partner,Breakfast Combos,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1060,Retail Franchise Supplies Faridabad,103950,2026-03-16,19,2026-03-28,Karan,Low,Overdue,North,Faridabad,Direct App Enterprise,Chai Flask Bulk Orders,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1061,Swiggy Settlement Bengaluru,96700,2026-03-13,22,,Sana,High,Overdue,South,Bengaluru,Food Aggregator,Marketplace Delivery,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1062,Zomato Settlement Delhi,110600,2026-03-10,25,2026-03-26,Vikram,Low,Overdue,North,Delhi,Corporate Catering,Breakfast Combos,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1063,Corporate Catering - Infosys Hyderabad,124500,2026-03-07,28,2026-03-25,,Low,Overdue,South,Hyderabad,Mall/Transit Venue,Chai Flask Bulk Orders,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1064,Corporate Catering - Wipro Noida,55600,2026-03-09,26,2026-03-27,,Medium,Partial Payment,North,Noida,Franchise Partner,Marketplace Delivery,Short remittance received; balance pending against catering or marketplace cycle,2026-04-09,https://samosaparty.in/contact-us
SP-AR-26-1065,Corporate Catering - Microsoft Chennai,69500,2026-03-01,34,2026-04-01,,Low,Overdue,South,Chennai,Direct App Enterprise,Breakfast Combos,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1066,Phoenix Mall Food Court Events Gurugram,59900,2026-02-26,37,2026-03-31,Arjun,High,Overdue,North,Gurugram,Food Aggregator,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1067,Airport Kiosk Bulk Order Desk Bengaluru,76150,2026-03-20,15,2026-03-30,Megha,Medium,Promise to Pay,South,Bengaluru,Corporate Catering,Marketplace Delivery,Finance contact committed payout release after outlet-level reconciliation,2026-04-07,https://samosaparty.in/store-locator
SP-AR-26-1068,Direct App Enterprise Orders Ghaziabad,90050,2026-02-20,43,2026-03-29,Karan,Low,Overdue,North,Ghaziabad,Mall/Transit Venue,Breakfast Combos,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1069,Tech Park Pantry Program Hyderabad,103950,2026-02-24,39,2026-03-21,Sana,High,Disputed,South,Hyderabad,Franchise Partner,Chai Flask Bulk Orders,Settlement dispute: commission or outlet-level payout mismatch under review,,https://samosaparty.in/
SP-AR-26-1070,Festival Bulk Orders Desk Faridabad,117850,2026-03-27,8,2026-03-27,Vikram,Medium,Overdue,North,Faridabad,Direct App Enterprise,Marketplace Delivery,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1071,Metro Hub Breakfast Program Chennai,108250,2026-03-13,22,2026-03-26,,Medium,Partial Payment,South,Chennai,Food Aggregator,Breakfast Combos,Short remittance received; balance pending against catering or marketplace cycle,2026-04-10,https://samosaparty.in/store-locator
SP-AR-26-1072,Retail Franchise Supplies Delhi,122150,2026-03-21,14,2026-03-25,,Low,Overdue,North,Delhi,Corporate Catering,Chai Flask Bulk Orders,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1073,Swiggy Settlement Bengaluru,55600,2026-03-18,17,2026-04-02,,Medium,Overdue,South,Bengaluru,Mall/Transit Venue,Marketplace Delivery,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1074,Zomato Settlement Noida,69500,2026-03-15,20,2026-04-01,Arjun,Low,Overdue,North,Noida,Franchise Partner,Breakfast Combos,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1075,Corporate Catering - Infosys Hyderabad,83400,2026-03-12,23,2026-03-31,Megha,Low,Overdue,South,Hyderabad,Direct App Enterprise,Chai Flask Bulk Orders,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1076,Corporate Catering - Wipro Gurugram,73800,2026-03-09,26,2026-03-30,Karan,High,Overdue,North,Gurugram,Food Aggregator,Marketplace Delivery,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1077,Corporate Catering - Microsoft Chennai,87700,2026-04-04,0,2026-04-03,Sana,Low,Paid,South,Chennai,Corporate Catering,Breakfast Combos,Closed after settlement remittance confirmation,,https://samosaparty.in/
SP-AR-26-1078,Phoenix Mall Food Court Events Ghaziabad,101600,2026-03-09,26,2026-03-31,Vikram,Medium,Promise to Pay,North,Ghaziabad,Mall/Transit Venue,Chai Flask Bulk Orders,Finance contact committed payout release after outlet-level reconciliation,2026-04-06,https://samosaparty.in/about
SP-AR-26-1079,Airport Kiosk Bulk Order Desk Bengaluru,117850,2026-02-28,35,2026-03-27,,Medium,Overdue,South,Bengaluru,Franchise Partner,Marketplace Delivery,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1080,Direct App Enterprise Orders Faridabad,131750,2026-02-25,38,2026-03-26,,Low,Overdue,North,Faridabad,Direct App Enterprise,Breakfast Combos,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1081,Tech Park Pantry Program Hyderabad,122150,2026-02-22,41,,,High,Overdue,South,Hyderabad,Food Aggregator,Chai Flask Bulk Orders,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1082,Festival Bulk Orders Desk Delhi,53250,2026-02-19,44,2026-04-02,Arjun,Medium,Overdue,North,Delhi,Corporate Catering,Marketplace Delivery,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1083,Metro Hub Breakfast Program Chennai,67150,2026-03-29,6,2026-04-01,Megha,Low,Overdue,South,Chennai,Mall/Transit Venue,Breakfast Combos,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1084,Retail Franchise Supplies Noida,81050,2026-03-26,9,2026-03-31,Karan,Low,Overdue,North,Noida,Franchise Partner,Chai Flask Bulk Orders,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1085,Swiggy Settlement Bengaluru,97300,2026-03-10,25,2026-03-30,Sana,Medium,Partial Payment,South,Bengaluru,Direct App Enterprise,Marketplace Delivery,Short remittance received; balance pending against catering or marketplace cycle,2026-04-06,https://samosaparty.in/
SP-AR-26-1086,Zomato Settlement Gurugram,87700,2026-02-28,35,2026-03-24,Vikram,High,Disputed,North,Gurugram,Food Aggregator,Breakfast Combos,Settlement dispute: commission or outlet-level payout mismatch under review,,https://samosaparty.in/about
SP-AR-26-1087,Corporate Catering - Infosys Hyderabad,101600,2026-03-17,18,2026-03-28,,Low,Overdue,South,Hyderabad,Corporate Catering,Chai Flask Bulk Orders,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1088,Corporate Catering - Wipro Ghaziabad,115500,2026-03-14,21,2026-03-27,,Medium,Overdue,North,Ghaziabad,Mall/Transit Venue,Marketplace Delivery,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1089,Corporate Catering - Microsoft Chennai,129400,2026-03-11,24,2026-04-01,,Medium,Promise to Pay,South,Chennai,Franchise Partner,Breakfast Combos,Finance contact committed payout release after outlet-level reconciliation,2026-04-05,https://samosaparty.in/
SP-AR-26-1090,Phoenix Mall Food Court Events Faridabad,143300,2026-03-08,27,2026-03-25,Arjun,Low,Overdue,North,Faridabad,Direct App Enterprise,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1091,Airport Kiosk Bulk Order Desk Bengaluru,53250,2026-03-05,30,,Megha,High,Overdue,South,Bengaluru,Food Aggregator,Marketplace Delivery,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1092,Direct App Enterprise Orders Delhi,67150,2026-03-14,21,2026-03-29,Karan,Medium,Partial Payment,North,Delhi,Corporate Catering,Breakfast Combos,Short remittance received; balance pending against catering or marketplace cycle,2026-04-07,https://samosaparty.in/contact-us
SP-AR-26-1093,Tech Park Pantry Program Hyderabad,81050,2026-02-27,36,2026-03-31,Sana,Low,Overdue,South,Hyderabad,Mall/Transit Venue,Chai Flask Bulk Orders,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1094,Festival Bulk Orders Desk Noida,94950,2026-02-24,39,2026-03-30,Vikram,Medium,Overdue,North,Noida,Franchise Partner,Marketplace Delivery,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1095,Metro Hub Breakfast Program Chennai,108850,2026-02-21,42,2026-03-29,,Low,Overdue,South,Chennai,Direct App Enterprise,Breakfast Combos,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1096,Retail Franchise Supplies Gurugram,99250,2026-04-04,0,2026-04-03,Riya,Low,Paid,North,Gurugram,Food Aggregator,Chai Flask Bulk Orders,Closed after settlement remittance confirmation,,https://samosaparty.in/contact-us
SP-AR-26-1097,Swiggy Settlement Bengaluru,115500,2026-03-28,7,2026-03-27,,Medium,Overdue,South,Bengaluru,Corporate Catering,Marketplace Delivery,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1098,Zomato Settlement Ghaziabad,129400,2026-03-25,10,2026-03-26,Arjun,Low,Overdue,North,Ghaziabad,Mall/Transit Venue,Breakfast Combos,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1099,Corporate Catering - Infosys Hyderabad,143300,2026-03-07,28,2026-03-28,Megha,Medium,Partial Payment,South,Hyderabad,Franchise Partner,Chai Flask Bulk Orders,Short remittance received; balance pending against catering or marketplace cycle,2026-04-08,https://samosaparty.in/store-locator
SP-AR-26-1100,Corporate Catering - Wipro Faridabad,74400,2026-03-13,22,2026-03-29,Karan,Medium,Promise to Pay,North,Faridabad,Direct App Enterprise,Marketplace Delivery,Finance contact committed payout release after outlet-level reconciliation,2026-04-08,https://samosaparty.in/contact-us
SP-AR-26-1101,Corporate Catering - Microsoft Chennai,64800,2026-03-16,19,,Sana,High,Overdue,South,Chennai,Food Aggregator,Breakfast Combos,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1102,Phoenix Mall Food Court Events Delhi,78700,2026-03-13,22,2026-03-31,Vikram,Low,Overdue,North,Delhi,Corporate Catering,Chai Flask Bulk Orders,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1103,Airport Kiosk Bulk Order Desk Bengaluru,94950,2026-02-11,52,2026-03-22,,High,Disputed,South,Bengaluru,Mall/Transit Venue,Marketplace Delivery,Settlement dispute: commission or outlet-level payout mismatch under review,,https://samosaparty.in/store-locator
SP-AR-26-1104,Direct App Enterprise Orders Noida,108850,2026-03-07,28,2026-03-29,,Low,Overdue,North,Noida,Franchise Partner,Breakfast Combos,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1105,Tech Park Pantry Program Hyderabad,122750,2026-03-04,31,2026-03-28,,Low,Overdue,South,Hyderabad,Direct App Enterprise,Chai Flask Bulk Orders,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1106,Festival Bulk Orders Desk Gurugram,113150,2026-03-11,24,2026-03-27,Arjun,Medium,Partial Payment,North,Gurugram,Food Aggregator,Marketplace Delivery,Short remittance received; balance pending against catering or marketplace cycle,2026-04-09,https://samosaparty.in/about
SP-AR-26-1107,Metro Hub Breakfast Program Chennai,127050,2026-02-26,37,2026-03-26,Megha,Low,Overdue,South,Chennai,Corporate Catering,Breakfast Combos,Bulk event order signoff pending from client admin,,https://samosaparty.in/store-locator
SP-AR-26-1108,Retail Franchise Supplies Ghaziabad,140950,2026-02-23,40,2026-03-25,Karan,Low,Overdue,North,Ghaziabad,Mall/Transit Venue,Chai Flask Bulk Orders,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1109,Swiggy Settlement Bengaluru,74400,2026-02-20,43,2026-04-02,Sana,Medium,Overdue,South,Bengaluru,Franchise Partner,Marketplace Delivery,No remittance confirmation from aggregator settlement team,,https://samosaparty.in/
SP-AR-26-1110,Zomato Settlement Faridabad,88300,2026-02-17,46,2026-04-01,Vikram,Low,Overdue,North,Faridabad,Direct App Enterprise,Breakfast Combos,GST invoice uploaded but payout still pending,,https://samosaparty.in/about
SP-AR-26-1111,Corporate Catering - Infosys Hyderabad,78700,2026-03-15,20,2026-03-30,,Medium,Promise to Pay,South,Hyderabad,Food Aggregator,Chai Flask Bulk Orders,Finance contact committed payout release after outlet-level reconciliation,2026-04-07,https://samosaparty.in/store-locator
SP-AR-26-1112,Corporate Catering - Wipro Delhi,92600,2026-03-24,11,2026-03-30,,Medium,Overdue,North,Delhi,Corporate Catering,Marketplace Delivery,Store-wise reconciliation pending with channel partner,,https://samosaparty.in/contact-us
SP-AR-26-1113,Corporate Catering - Microsoft Chennai,106500,2026-03-15,20,2026-03-26,,Medium,Partial Payment,South,Chennai,Mall/Transit Venue,Breakfast Combos,Short remittance received; balance pending against catering or marketplace cycle,2026-04-10,https://samosaparty.in/
